model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_1_20230104_144516,0.2678787850966506,0.8574482291788579,0.3708548817464508,0.2232188974537367,0.2963084072480001,0.0877986722058467,15335,0.010354,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20230104_144516,0.2683455580713235,0.8568280717571907,0.370037761584797,0.2300440358914756,0.2964670628267037,0.0878927193410926,13667,0.002207,StackedEnsemble
GBM_2_AutoML_1_20230104_144516,0.2687685388243083,0.856328631460215,0.3698078726689953,0.2335977619361831,0.2965751424179155,0.0879568151002068,5333,0.001782,GBM
GBM_3_AutoML_1_20230104_144516,0.2688543425825407,0.8565257669124388,0.3705647898816498,0.2338109943923589,0.2965453301139248,0.0879391328123766,5202,0.001585,GBM
GBM_5_AutoML_1_20230104_144516,0.2689560788818666,0.8558368574202416,0.3685586389704039,0.2283721872826707,0.2967249046149146,0.0880456690187301,4736,0.001631,GBM
GBM_4_AutoML_1_20230104_144516,0.2702814434324029,0.8551578222247803,0.3677804344189533,0.2311685491271448,0.297033917910645,0.0882291483893478,5850,0.001511,GBM
GBM_1_AutoML_1_20230104_144516,0.2703331194140435,0.8545770185112852,0.3637955577725835,0.2339980589490707,0.297223942341596,0.0883420719010804,8590,0.002021,GBM
GBM_grid_1_AutoML_1_20230104_144516_model_2,0.2734875032015043,0.8530109882352577,0.3619686683048936,0.2336050924966682,0.2982267971859959,0.0889392225598171,5863,0.001729,GBM
DeepLearning_1_AutoML_1_20230104_144516,0.2758091935872886,0.8470957280993936,0.3405358126859182,0.2442315509583896,0.2992260847637668,0.0895362498030529,4539,0.000871,DeepLearning
DeepLearning_grid_2_AutoML_1_20230104_144516_model_1,0.2783694074671186,0.836037549130746,0.3192013186198154,0.2297763417409732,0.3011716408612994,0.0907043572590875,39915,0.001482,DeepLearning
GBM_grid_1_AutoML_1_20230104_144516_model_1,0.2843060105561996,0.8475369548964338,0.3499517523089758,0.2342153843836617,0.3020435942568331,0.0912303328315864,7058,0.002381,GBM
DeepLearning_grid_1_AutoML_1_20230104_144516_model_1,0.2854519884259989,0.8381775793787875,0.318254785977658,0.2250198024801561,0.3023677550986415,0.091426259323392,46055,0.001359,DeepLearning
